birthday	species	subject_id	sex	age
2022-04-22 00:00:00-04:00	Mus musculus	sub-M388	F	P90D
2023-06-19 00:00:00-04:00	Mus musculus	sub-M483	F	P90D
2023-06-19 00:00:00-04:00	Mus musculus	sub-M481	F	P90D
